,Address,Sentiment Score,Sentiment Label,Subjectivity Score,Positive Words,Negative Words
0,https://www.thegatewaypundit.com/2022/05/world-health-organization-global-pandemic-treaty-includes-plan-mandatory-universal-digital-passport-system/,0.0,Error,0.0,,
1,https://gettr.com/post/ptt4ta7c84,0.0,Error,0.0,,
2,https://komonews.com/news/coronavirus/if-covid-19-pandemic-is-over-are-military-vaccine-mandates-necessary-united-states-army-marines-navy-service-members-president-joe-biden-coronavirus-vaccination-pfizer-moderna#,0.0,Error,0.0,,
3,https://www.lewrockwell.com/2018/11/no_author/did-a-military-experimental-vaccine-in-1918-kill-50-100-million-people-blamed-as-spanish-flu/,0.0,Error,0.0,,
4,https://nation.com.pk/08-Apr-2021/russia-offers-pakistan-vaccine-energy-military-equipment,0.0,Error,0.0,,
5,https://barrie.ctvnews.ca/cfb-borden-based-military-officer-faces-sentencing-for-anti-vaccine-speech-at-rally-1.6079795?cid=sm%3Atrueanthem%3Actvbarrie%3Atwitterpost%E2%80%8B&taid=632cb0bd694a8900011d8202&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter,0.0,Error,0.0,,
6,https://www.reuters.com/world/us/us-army-discharge-soldiers-who-refuse-covid-19-vaccine-2022-02-02/,0.0,Error,0.0,,
7,https://www.dailysabah.com/world/europe/sweden-to-send-military-aid-to-ukraine-in-break-with-tradition,0.0,Error,0.0,,
8,https://www.military.com/daily-news/2022/11/01/air-force-allows-unvaccinated-instructor-pilots-fly-again-amid-pending-lawsuits.html,0.0,Error,0.0,,
9,https://roundingtheearth.substack.com/p/defining-away-vaccine-safety-signals-e22?utm_medium=email&action=share,0.0,Error,0.0,,
10,https://nationalpost.com/news/national/defence-watch/military-leaders-saw-pandemic-as-unique-opportunity-to-test-propaganda-techniques-on-canadians-forces-report-says/wcm/22733c97-39f0-4ba4-8a26-478af5e215f3?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1632748542,0.0,Error,0.0,,
11,https://childrenshealthdefense.org/defender/heather-elkins-pfizer-covid-vaccine-injury/,0.0,Error,0.0,,
12,https://t.me/NewsmaxTV/6142,0.0,Error,0.0,,
